num_nodes,num_edges,source,destination,amount,time,success,total_bidding,total_outsourcing,propability_updates,failed_transactions
4,6,0,3,36,0.0,True,2,2,2,0
8,14,0,7,72,0.0,True,3,3,3,0
12,22,0,11,108,0.0,True,5,5,5,0
16,30,0,15,144,0.00099945068359375,True,1,1,1,0
20,38,0,19,180,0.0010018348693847656,True,6,6,6,0
24,46,0,23,216,0.0009996891021728516,True,2,2,2,0
28,54,0,27,252,0.0,True,2,2,2,0
32,62,0,31,288,0.001001119613647461,True,2,2,2,0
36,70,0,35,324,0.001996278762817383,True,14,14,14,0
40,78,0,39,360,0.0,True,0,0,0,0
44,86,0,43,396,0.0010001659393310547,True,8,8,8,0
48,94,0,47,432,0.002006053924560547,True,8,8,8,0
52,102,0,51,468,0.0,True,0,0,0,0
56,110,0,55,504,0.008001089096069336,False,62,61,968,968
60,118,0,59,540,0.0029997825622558594,True,37,37,72,36
64,126,0,63,576,0.0019989013671875,True,19,19,25,7
68,134,0,67,612,0.0009987354278564453,True,7,7,7,0
72,142,0,71,648,0.012000083923339844,False,88,87,1327,1327
76,150,0,75,684,0.010997533798217773,False,78,77,1503,1503
80,158,0,79,720,0.013000011444091797,False,85,84,1746,1746
84,166,0,83,756,0.007978677749633789,False,68,67,1183,1183
88,174,0,87,792,0.0,True,2,2,2,0
92,182,0,91,828,0.003999471664428711,True,40,40,40,0
96,190,0,95,864,0.0009996891021728516,True,11,11,11,0
100,198,0,99,900,0.0060007572174072266,True,40,40,65,26
104,206,0,103,936,0.016994476318359375,False,92,91,1957,1957
108,214,0,107,972,0.0019979476928710938,True,18,18,18,0
112,222,0,111,1008,0.005003452301025391,True,36,36,65,30
116,230,0,115,1044,0.004004240036010742,True,40,40,40,0
120,238,0,119,1080,0.0010025501251220703,True,9,9,9,0
124,246,0,123,1116,0.007000923156738281,True,68,68,68,0
128,254,0,127,1152,0.015999317169189453,False,104,103,2364,2364
132,262,0,131,1188,0.010998249053955078,False,91,90,1919,1919
136,270,0,135,1224,0.001997232437133789,True,23,23,23,0
140,278,0,139,1260,0.0020017623901367188,True,16,16,16,0
144,286,0,143,1296,0.0010006427764892578,True,10,10,10,0
148,294,0,147,1332,0.0039980411529541016,True,37,37,37,0
152,302,0,151,1368,0.002000093460083008,True,19,19,19,0
156,310,0,155,1404,0.009001493453979492,True,84,84,230,148
160,318,0,159,1440,0.031001806259155273,False,139,138,3518,3518
164,326,0,163,1476,0.03400611877441406,False,137,136,3504,3504
168,334,0,167,1512,0.0009999275207519531,True,12,12,12,0
172,342,0,171,1548,0.01199960708618164,False,73,72,1343,1343
176,350,0,175,1584,0.003998517990112305,True,38,38,38,0
180,358,0,179,1620,0.0019936561584472656,True,19,19,19,0
184,366,0,183,1656,0.004000425338745117,True,36,36,36,0
188,374,0,187,1692,0.006006479263305664,True,45,45,45,0
192,382,0,191,1728,0.029004335403442383,False,142,141,3627,3627
196,390,0,195,1764,0.004999876022338867,True,41,41,41,0
200,398,0,199,1800,0.013999223709106445,True,88,88,128,41
204,406,0,203,1836,0.0020074844360351562,True,4,4,4,0
208,414,0,207,1872,0.0019915103912353516,True,12,12,12,0
212,422,0,211,1908,0.06200122833251953,True,129,129,429,303
216,430,0,215,1944,0.0019927024841308594,True,22,22,22,0
220,438,0,219,1980,0.009000301361083984,True,65,65,187,124
224,446,0,223,2016,0.00699925422668457,True,65,65,65,0
228,454,0,227,2052,0.0019941329956054688,True,23,23,23,0
232,462,0,231,2088,0.0010004043579101562,True,15,15,15,0
236,470,0,235,2124,0.004999637603759766,True,60,60,60,0
240,478,0,239,2160,0.0019981861114501953,True,26,26,26,0
244,486,0,243,2196,0.003999471664428711,True,42,42,42,0
248,494,0,247,2232,0.019994735717773438,False,131,130,3230,3230
252,502,0,251,2268,0.012002229690551758,False,83,82,1663,1663
256,510,0,255,2304,0.009000062942504883,True,82,82,138,57
260,518,0,259,2340,0.019997835159301758,False,129,128,3192,3192
264,526,0,263,2376,0.0020003318786621094,True,25,25,25,0
268,534,0,267,2412,0.003998756408691406,True,37,37,60,24
272,542,0,271,2448,0.001999378204345703,True,19,19,19,0
276,550,0,275,2484,0.02100372314453125,True,116,116,116,0
280,558,0,279,2520,0.021996259689331055,False,121,120,2879,2879
284,566,0,283,2556,0.0030014514923095703,True,27,27,27,0
288,574,0,287,2592,0.024998903274536133,False,156,155,4130,4130
292,582,0,291,2628,0.0070002079010009766,True,69,69,91,23
296,590,0,295,2664,0.023990869522094727,False,154,153,4010,4010
300,598,0,299,2700,0.008997917175292969,True,82,82,82,0
304,606,0,303,2736,0.011996746063232422,True,101,101,101,0
308,614,0,307,2772,0.011999130249023438,False,94,93,2015,2015
312,622,0,311,2808,0.0010004043579101562,True,11,11,11,0
316,630,0,315,2844,0.007998943328857422,False,66,65,1119,1119
320,638,0,319,2880,0.005997419357299805,True,58,58,58,0
324,646,0,323,2916,0.023999929428100586,False,139,138,3513,3513
328,654,0,327,2952,0.037001848220825195,False,176,175,4826,4826
332,662,0,331,2988,0.0501251220703125,False,179,178,4951,4951
336,670,0,335,3024,0.011999368667602539,True,92,92,92,0
340,678,0,339,3060,0.0005211830139160156,True,3,3,3,0
344,686,0,343,3096,0.020999908447265625,True,144,144,308,166
348,694,0,347,3132,0.05600166320800781,False,230,229,6611,6611
352,702,0,351,3168,0.018997669219970703,False,126,125,3039,3039
356,710,0,355,3204,0.014001131057739258,False,81,80,1599,1599
360,718,0,359,3240,0.013000249862670898,True,102,102,220,120
364,726,0,363,3276,0.0919959545135498,False,285,284,8709,8709
368,734,0,367,3312,0.003998517990112305,True,45,45,45,0
372,742,0,371,3348,0.00999903678894043,True,72,72,72,0
376,750,0,375,3384,0.004999637603759766,True,52,52,101,50
380,758,0,379,3420,0.006998538970947266,True,37,37,37,0
384,766,0,383,3456,0.03700113296508789,False,177,176,4671,4671
