num_nodes,num_edges,source,destination,amount,time,success,total_bidding,total_outsourcing,propability_updates,failed_transactions
4,6,0,3,36,0.0,True,2,2,2,0
8,14,0,7,72,0.0,True,3,3,3,0
12,22,0,11,108,0.0010004043579101562,True,5,5,5,0
16,30,0,15,144,0.0,True,1,1,1,0
20,38,0,19,180,0.0,True,6,6,6,0
24,46,0,23,216,0.0,True,2,2,2,0
28,54,0,27,252,0.0,True,2,2,2,0
32,62,0,31,288,0.0,True,2,2,2,0
36,70,0,35,324,0.0020093917846679688,True,14,14,14,0
40,78,0,39,360,0.0,True,0,0,0,0
44,86,0,43,396,0.0,True,8,8,8,0
48,94,0,47,432,0.0010006427764892578,True,8,8,8,0
52,102,0,51,468,0.0,True,0,0,0,0
56,110,0,55,504,0.004033803939819336,False,41,40,338,338
60,118,0,59,540,0.004025936126708984,True,37,37,72,36
64,126,0,63,576,0.002000093460083008,True,19,19,25,7
68,134,0,67,612,0.0010023117065429688,True,7,7,7,0
72,142,0,71,648,0.004999876022338867,False,46,45,340,340
76,150,0,75,684,0.006029844284057617,False,57,56,516,516
80,158,0,79,720,0.007031679153442383,False,64,63,633,633
84,166,0,83,756,0.004998683929443359,False,47,46,427,427
88,174,0,87,792,0.0,True,2,2,2,0
92,182,0,91,828,0.0029997825622558594,True,40,40,40,0
96,190,0,95,864,0.0019941329956054688,True,11,11,11,0
100,198,0,99,900,0.0039980411529541016,True,40,40,65,26
104,206,0,103,936,0.007998228073120117,False,71,70,697,697
108,214,0,107,972,0.0019752979278564453,True,18,18,18,0
112,222,0,111,1008,0.002980470657348633,True,36,36,65,30
116,230,0,115,1044,0.004978656768798828,True,40,40,40,0
120,238,0,119,1080,0.001026153564453125,True,9,9,9,0
124,246,0,123,1116,0.006971836090087891,True,68,68,68,0
128,254,0,127,1152,0.011006593704223633,False,83,82,852,852
132,262,0,131,1188,0.011047601699829102,False,70,69,659,659
136,270,0,135,1224,0.005002498626708984,True,23,23,23,0
140,278,0,139,1260,0.001999378204345703,True,16,16,16,0
144,286,0,143,1296,0.0009992122650146484,True,10,10,10,0
148,294,0,147,1332,0.005315303802490234,True,37,37,37,0
152,302,0,151,1368,0.0021619796752929688,True,19,19,19,0
156,310,0,155,1404,0.009451150894165039,True,84,84,230,148
160,318,0,159,1440,0.024417877197265625,False,118,117,1271,1271
164,326,0,163,1476,0.015046834945678711,False,116,115,1320,1320
168,334,0,167,1512,0.0009987354278564453,True,12,12,12,0
172,342,0,171,1548,0.005999565124511719,False,52,51,461,461
176,350,0,175,1584,0.005033969879150391,True,38,38,38,0
180,358,0,179,1620,0.0020339488983154297,True,19,19,19,0
184,366,0,183,1656,0.004022121429443359,True,36,36,36,0
188,374,0,187,1692,0.005029916763305664,True,45,45,45,0
192,382,0,191,1728,0.01599597930908203,False,121,120,1359,1359
196,390,0,195,1764,0.0039942264556884766,True,41,41,41,0
200,398,0,199,1800,0.011004447937011719,True,88,88,128,41
204,406,0,203,1836,0.0010025501251220703,True,4,4,4,0
208,414,0,207,1872,0.0010085105895996094,True,12,12,12,0
212,422,0,211,1908,0.01903223991394043,True,129,129,429,303
216,430,0,215,1944,0.0019686222076416016,True,22,22,22,0
220,438,0,219,1980,0.008001565933227539,True,65,65,187,124
224,446,0,223,2016,0.006032228469848633,True,65,65,65,0
228,454,0,227,2052,0.0019991397857666016,True,23,23,23,0
232,462,0,231,2088,0.0009984970092773438,True,15,15,15,0
236,470,0,235,2124,0.006036043167114258,True,60,60,60,0
240,478,0,239,2160,0.0019991397857666016,True,26,26,26,0
244,486,0,243,2196,0.004030466079711914,True,42,42,42,0
248,494,0,247,2232,0.013998270034790039,False,110,109,1151,1151
252,502,0,251,2268,0.008000373840332031,False,62,61,571,571
256,510,0,255,2304,0.008968353271484375,True,82,82,138,57
260,518,0,259,2340,0.014003276824951172,False,108,107,1155,1155
264,526,0,263,2376,0.002000570297241211,True,25,25,25,0
268,534,0,267,2412,0.002998828887939453,True,37,37,60,24
272,542,0,271,2448,0.000997781753540039,True,19,19,19,0
276,550,0,275,2484,0.014990091323852539,True,116,116,116,0
280,558,0,279,2520,0.012998819351196289,False,100,99,989,989
284,566,0,283,2556,0.0030007362365722656,True,27,27,27,0
288,574,0,287,2592,0.019008398056030273,False,135,134,1547,1547
292,582,0,291,2628,0.006999492645263672,True,69,69,91,23
296,590,0,295,2664,0.018000125885009766,False,133,132,1469,1469
300,598,0,299,2700,0.007999897003173828,True,82,82,82,0
304,606,0,303,2736,0.011028766632080078,True,101,101,101,0
308,614,0,307,2772,0.007995128631591797,False,73,72,692,692
312,622,0,311,2808,0.0010008811950683594,True,11,11,11,0
316,630,0,315,2844,0.004034757614135742,False,45,44,384,384
320,638,0,319,2880,0.004998445510864258,True,58,58,58,0
324,646,0,323,2916,0.017002105712890625,False,118,117,1266,1266
328,654,0,327,2952,0.02399730682373047,False,155,154,1823,1823
332,662,0,331,2988,0.02399921417236328,False,158,157,1906,1906
336,670,0,335,3024,0.010967016220092773,True,92,92,92,0
340,678,0,339,3060,0.0,True,3,3,3,0
344,686,0,343,3096,0.02296590805053711,True,144,144,308,166
348,694,0,347,3132,0.04100203514099121,False,209,208,2495,2495
352,702,0,351,3168,0.014001607894897461,False,105,104,1044,1044
356,710,0,355,3204,0.00798940658569336,False,60,59,549,549
360,718,0,359,3240,0.013032674789428711,True,102,102,220,120
364,726,0,363,3276,0.06499981880187988,False,264,263,3480,3480
368,734,0,367,3312,0.003998517990112305,True,45,45,45,0
372,742,0,371,3348,0.007031440734863281,True,72,72,72,0
376,750,0,375,3384,0.005034446716308594,True,52,52,101,50
380,758,0,379,3420,0.0030159950256347656,True,37,37,37,0
384,766,0,383,3456,0.022998809814453125,False,156,155,1605,1605
388,774,0,387,3492,0.007990360260009766,True,68,68,68,0
