num_nodes,num_edges,source,destination,amount,time,success,total_bidding,total_outsourcing,propability_updates,failed_transactions
4,6,0,3,36,0.0009391307830810547,True,2,2,2,0
8,14,0,7,72,0.0019986629486083984,True,3,3,3,0
12,22,0,11,108,0.0020008087158203125,True,3,3,3,0
16,30,0,15,144,0.004999399185180664,True,5,5,5,0
20,38,0,19,180,0.0,True,0,0,0,0
24,46,0,23,216,0.012208700180053711,True,19,19,18,1
28,54,0,27,252,0.008999347686767578,True,7,7,7,0
32,62,0,31,288,0.34303927421569824,True,456,456,238,218
36,70,0,35,324,0.01400136947631836,True,18,18,18,0
40,78,0,39,360,0.11100125312805176,True,151,151,88,63
44,86,0,43,396,0.004984378814697266,True,3,3,3,0
48,94,0,47,432,0.008002758026123047,True,10,10,10,0
52,102,0,51,468,0.05405449867248535,True,108,108,74,34
56,110,0,55,504,0.07817482948303223,True,162,162,97,65
60,118,0,59,540,0.0008983612060546875,True,1,1,1,0
64,126,0,63,576,0.015002727508544922,True,30,30,30,0
68,134,0,67,612,0.09399795532226562,True,176,176,111,65
72,142,0,71,648,0.10199904441833496,True,180,180,115,65
80,158,0,79,720,0.011999130249023438,True,21,21,21,0
84,166,0,83,756,0.012999534606933594,True,27,27,27,0
92,182,0,91,828,0.009453058242797852,True,6,6,6,0
96,190,0,95,864,0.0280001163482666,True,55,55,54,1
100,198,0,99,900,0.003998994827270508,True,4,4,4,0
108,214,0,107,972,0.02700042724609375,True,47,47,46,1
112,222,0,111,1008,0.002998828887939453,True,6,6,6,0
124,246,0,123,1116,0.009997129440307617,True,22,22,22,0
128,254,0,127,1152,0.0029981136322021484,True,6,6,6,0
132,262,0,131,1188,0.016010046005249023,True,35,35,35,0
136,270,0,135,1224,0.004998445510864258,True,13,13,13,0
140,278,0,139,1260,0.014998197555541992,True,26,26,26,0
144,286,0,143,1296,0.06510090827941895,True,120,120,88,32
148,294,0,147,1332,0.16175532341003418,True,120,120,88,32
152,302,0,151,1368,0.197998046875,True,416,416,257,159
156,310,0,155,1404,0.01202082633972168,True,30,30,30,0
160,318,0,159,1440,0.012999534606933594,True,30,30,30,0
164,326,0,163,1476,0.08900022506713867,True,200,200,136,64
168,334,0,167,1512,0.03300070762634277,True,41,41,41,0
172,342,0,171,1548,0.026000261306762695,True,50,50,49,1
176,350,0,175,1584,0.006998777389526367,True,18,18,18,0
180,358,0,179,1620,0.009999990463256836,True,22,22,22,0
184,366,0,183,1656,0.018003463745117188,True,41,41,41,0
188,374,0,187,1692,0.003994464874267578,True,8,8,8,0
192,382,0,191,1728,0.05100202560424805,True,100,100,96,4
196,390,0,195,1764,0.0950002670288086,True,33,33,33,0
208,414,0,207,1872,0.022001266479492188,True,45,45,45,0
216,430,0,215,1944,0.22700071334838867,True,248,248,154,94
220,438,0,219,1980,0.06799793243408203,True,144,144,111,33
224,446,0,223,2016,0.021000146865844727,True,50,50,50,0
232,462,0,231,2088,0.01993536949157715,True,42,42,42,0
244,486,0,243,2196,0.05899548530578613,True,112,112,110,2
248,494,0,247,2232,0.08499908447265625,True,164,164,132,32
252,502,0,251,2268,0.0549776554107666,True,93,93,93,0
256,510,0,255,2304,0.04900383949279785,True,97,97,96,1
260,518,0,259,2340,0.12606263160705566,True,239,239,173,66
264,526,0,263,2376,0.12499856948852539,True,223,223,186,37
268,534,0,267,2412,0.01303553581237793,True,30,30,30,0
280,558,0,279,2520,0.0770113468170166,True,91,91,91,0
284,566,0,283,2556,0.22899436950683594,True,230,230,165,65
288,574,0,287,2592,0.02500009536743164,True,58,58,57,1
292,582,0,291,2628,0.019999265670776367,True,46,46,46,0
