num_nodes,num_edges,source,destination,amount,time,success,total_bidding,total_outsourcing,propability_updates,failed_transactions
4,6,0,3,36,0.0009829998016357422,True,2,2,2,0
8,14,0,7,72,0.0009992122650146484,True,3,3,3,0
12,22,0,11,108,0.002002239227294922,True,3,3,3,0
16,30,0,15,144,0.00401616096496582,True,5,5,5,0
20,38,0,19,180,0.0,True,0,0,0,0
24,46,0,23,216,0.00995945930480957,True,19,19,18,1
28,54,0,27,252,0.0060002803802490234,True,7,7,7,0
32,62,0,31,288,0.10599970817565918,True,162,162,91,71
36,70,0,35,324,0.09999656677246094,True,18,18,18,0
40,78,0,39,360,0.0359649658203125,True,67,67,46,21
44,86,0,43,396,0.0009975433349609375,True,3,3,3,0
48,94,0,47,432,0.004998445510864258,True,10,10,10,0
52,102,0,51,468,0.03599953651428223,True,66,66,53,13
56,110,0,55,504,0.04229736328125,True,78,78,55,23
60,118,0,59,540,0.001001596450805664,True,1,1,1,0
64,126,0,63,576,0.016999006271362305,True,30,30,30,0
68,134,0,67,612,0.04899787902832031,True,92,92,69,23
72,142,0,71,648,0.050000667572021484,True,96,96,73,23
76,150,0,75,684,0.32500290870666504,True,435,435,239,196
80,158,0,79,720,0.010999441146850586,True,21,21,21,0
84,166,0,83,756,0.01200103759765625,True,27,27,27,0
88,174,0,87,792,0.22700047492980957,True,477,477,266,211
92,182,0,91,828,0.0030002593994140625,True,6,6,6,0
96,190,0,95,864,0.028999805450439453,True,55,55,54,1
100,198,0,99,900,0.0009996891021728516,True,4,4,4,0
108,214,0,107,972,0.019999980926513672,True,47,47,46,1
112,222,0,111,1008,0.003998994827270508,True,6,6,6,0
120,238,0,119,1080,0.15000104904174805,True,302,302,195,107
124,246,0,123,1116,0.011000394821166992,True,22,22,22,0
128,254,0,127,1152,0.0029997825622558594,True,6,6,6,0
132,262,0,131,1188,0.01599884033203125,True,35,35,35,0
136,270,0,135,1224,0.008001327514648438,True,13,13,13,0
140,278,0,139,1260,0.02219223976135254,True,26,26,26,0
144,286,0,143,1296,0.03599882125854492,True,78,78,67,11
148,294,0,147,1332,0.03600025177001953,True,78,78,67,11
152,302,0,151,1368,0.10605549812316895,True,206,206,152,54
156,310,0,155,1404,0.014001607894897461,True,30,30,30,0
160,318,0,159,1440,0.014998197555541992,True,30,30,30,0
164,326,0,163,1476,0.05399632453918457,True,116,116,94,22
168,334,0,167,1512,0.028000831604003906,True,41,41,41,0
172,342,0,171,1548,0.025795698165893555,True,50,50,49,1
176,350,0,175,1584,0.009710550308227539,True,18,18,18,0
180,358,0,179,1620,0.009999752044677734,True,22,22,22,0
184,366,0,183,1656,0.016999006271362305,True,41,41,41,0
188,374,0,187,1692,0.0030012130737304688,True,8,8,8,0
192,382,0,191,1728,0.050002336502075195,True,100,100,96,4
196,390,0,195,1764,0.01600170135498047,True,33,33,33,0
208,414,0,207,1872,0.020001888275146484,True,45,45,45,0
216,430,0,215,1944,0.06800293922424316,True,122,122,91,31
220,438,0,219,1980,0.05899214744567871,True,102,102,90,12
224,446,0,223,2016,0.020997285842895508,True,50,50,50,0
232,462,0,231,2088,0.019944429397583008,True,42,42,42,0
244,486,0,243,2196,0.06000185012817383,True,112,112,110,2
248,494,0,247,2232,0.07800412178039551,True,122,122,111,11
252,502,0,251,2268,0.05427193641662598,True,93,93,93,0
256,510,0,255,2304,0.05000114440917969,True,97,97,96,1
260,518,0,259,2340,0.08299970626831055,True,155,155,131,24
264,526,0,263,2376,0.11500072479248047,True,181,181,165,16
268,534,0,267,2412,0.01399993896484375,True,30,30,30,0
276,550,0,275,2484,0.26059842109680176,True,415,415,298,117
280,558,0,279,2520,0.06867742538452148,True,91,91,91,0
284,566,0,283,2556,0.08179354667663574,True,146,146,123,23
288,574,0,287,2592,0.025000333786010742,True,58,58,57,1
292,582,0,291,2628,0.02300119400024414,True,46,46,46,0
296,590,0,295,2664,0.052000999450683594,True,106,106,106,0
300,598,0,299,2700,0.010997295379638672,True,25,25,25,0
304,606,0,303,2736,0.044997215270996094,True,89,89,89,0
308,614,0,307,2772,0.05099987983703613,True,109,109,97,12
312,622,0,311,2808,0.0770876407623291,True,143,143,142,1
316,630,0,315,2844,0.006005287170410156,True,11,11,11,0
320,638,0,319,2880,0.07600212097167969,True,149,149,137,12
324,646,0,323,2916,0.18401837348937988,True,268,268,230,38
328,654,0,327,2952,0.029359102249145508,True,57,57,57,0
332,662,0,331,2988,0.015299320220947266,True,26,26,26,0
336,670,0,335,3024,0.017000675201416016,True,37,37,37,0
340,678,0,339,3060,0.011003255844116211,True,20,20,20,0
344,686,0,343,3096,0.023985624313354492,True,53,53,53,0
