num_nodes,num_edges,source,destination,amount,time,success,total_bidding,total_outsourcing,propability_updates,failed_transactions
4,6,0,3,36,0.00096893310546875,True,2,2,2,0
8,14,0,7,72,0.0,True,3,3,3,0
12,22,0,11,108,0.00099945068359375,True,5,5,5,0
16,30,0,15,144,0.0,True,1,1,1,0
20,38,0,19,180,0.0,True,6,6,6,0
24,46,0,23,216,0.0,True,2,2,2,0
28,54,0,27,252,0.0,True,2,2,2,0
32,62,0,31,288,0.0010025501251220703,True,2,2,2,0
36,70,0,35,324,0.00099945068359375,True,14,14,14,0
40,78,0,39,360,0.0,True,0,0,0,0
44,86,0,43,396,0.0,True,8,8,8,0
48,94,0,47,432,0.0009996891021728516,True,8,8,8,0
52,102,0,51,468,0.0,True,0,0,0,0
56,110,0,55,504,0.00400090217590332,True,41,41,39,2
60,118,0,59,540,0.011999368667602539,True,115,115,80,35
64,126,0,63,576,0.0030012130737304688,True,13,13,12,1
68,134,0,67,612,0.0010013580322265625,True,7,7,7,0
72,142,0,71,648,0.005002737045288086,True,41,41,40,1
76,150,0,75,684,0.035999298095703125,True,357,357,201,156
84,166,0,83,756,0.018755197525024414,True,131,131,95,36
88,174,0,87,792,0.0005216598510742188,True,2,2,2,0
92,182,0,91,828,0.0047762393951416016,True,40,40,40,0
96,190,0,95,864,0.0009984970092773438,True,11,11,11,0
100,198,0,99,900,0.0029993057250976562,True,33,33,32,1
104,206,0,103,936,0.006342649459838867,True,47,47,46,1
108,214,0,107,972,0.0015611648559570312,True,18,18,18,0
112,222,0,111,1008,0.004761457443237305,True,36,36,35,1
116,230,0,115,1044,0.004000186920166016,True,40,40,40,0
120,238,0,119,1080,0.0,True,9,9,9,0
124,246,0,123,1116,0.006998538970947266,True,68,68,68,0
128,254,0,127,1152,0.04400205612182617,True,349,349,219,130
136,270,0,135,1224,0.0019991397857666016,True,23,23,23,0
140,278,0,139,1260,0.0020003318786621094,True,16,16,16,0
144,286,0,143,1296,0.0020051002502441406,True,10,10,10,0
148,294,0,147,1332,0.00500798225402832,True,37,37,37,0
152,302,0,151,1368,0.0030057430267333984,True,19,19,19,0
156,310,0,155,1404,0.036002159118652344,True,287,287,190,97
168,334,0,167,1512,0.0010018348693847656,True,12,12,12,0
172,342,0,171,1548,0.06000208854675293,True,420,420,258,162
176,350,0,175,1584,0.004947662353515625,True,38,38,38,0
180,358,0,179,1620,0.0009999275207519531,True,19,19,19,0
184,366,0,183,1656,0.002999544143676758,True,36,36,36,0
188,374,0,187,1692,0.004002094268798828,True,45,45,45,0
192,382,0,191,1728,0.014001846313476562,True,112,112,110,2
196,390,0,195,1764,0.0039997100830078125,True,41,41,41,0
200,398,0,199,1800,0.01900005340576172,True,195,195,132,63
204,406,0,203,1836,0.0010051727294921875,True,4,4,4,0
208,414,0,207,1872,0.0009970664978027344,True,12,12,12,0
212,422,0,211,1908,0.016000747680664062,True,121,121,117,4
216,430,0,215,1944,0.0020020008087158203,True,22,22,22,0
224,446,0,223,2016,0.00800466537475586,True,65,65,65,0
228,454,0,227,2052,0.0019998550415039062,True,23,23,23,0
232,462,0,231,2088,0.001999378204345703,True,15,15,15,0
236,470,0,235,2124,0.008002281188964844,True,60,60,60,0
240,478,0,239,2160,0.0029985904693603516,True,26,26,26,0
244,486,0,243,2196,0.007003068923950195,True,42,42,42,0
248,494,0,247,2232,0.039002180099487305,True,343,343,218,125
256,510,0,255,2304,0.007000923156738281,True,76,76,75,1
264,526,0,263,2376,0.0030558109283447266,True,25,25,25,0
268,534,0,267,2412,0.02899909019470215,True,211,211,176,35
272,542,0,271,2448,0.0020003318786621094,True,19,19,19,0
276,550,0,275,2484,0.016036033630371094,True,116,116,116,0
280,558,0,279,2520,0.07203555107116699,True,375,375,273,102
284,566,0,283,2556,0.0029993057250976562,True,27,27,27,0
288,574,0,287,2592,0.03318953514099121,True,212,212,176,36
292,582,0,291,2628,0.010000944137573242,True,83,83,81,2
300,598,0,299,2700,0.010992050170898438,True,82,82,82,0
304,606,0,303,2736,0.013998270034790039,True,101,101,101,0
312,622,0,311,2808,0.0010006427764892578,True,11,11,11,0
316,630,0,315,2844,0.08316946029663086,True,425,425,298,127
320,638,0,319,2880,0.006033182144165039,True,58,58,58,0
324,646,0,323,2916,0.040033817291259766,True,277,277,211,66
328,654,0,327,2952,0.05402803421020508,True,297,297,232,65
332,662,0,331,2988,0.04900169372558594,True,298,298,229,69
336,670,0,335,3024,0.012997150421142578,True,92,92,92,0
340,678,0,339,3060,0.0,True,3,3,3,0
344,686,0,343,3096,0.012998580932617188,True,108,108,106,2
348,694,0,347,3132,0.0800015926361084,True,431,431,302,129
360,718,0,359,3240,0.0180361270904541,True,161,161,127,34
368,734,0,367,3312,0.006966590881347656,True,45,45,45,0
372,742,0,371,3348,0.0070343017578125,True,72,72,72,0
376,750,0,375,3384,0.019997835159301758,True,137,137,134,3
380,758,0,379,3420,0.0029654502868652344,True,37,37,37,0
384,766,0,383,3456,0.04999995231628418,True,289,289,225,64
388,774,0,387,3492,0.010032892227172852,True,68,68,68,0
392,782,0,391,3528,0.018988847732543945,True,127,127,125,2
400,798,0,399,3600,0.0009992122650146484,True,9,9,9,0
412,822,0,411,3708,0.0,True,2,2,2,0
416,830,0,415,3744,0.008000850677490234,True,52,52,52,0
420,838,0,419,3780,0.001001119613647461,True,9,9,9,0
424,846,0,423,3816,0.01642894744873047,True,108,108,108,0
428,854,0,427,3852,0.010998964309692383,True,59,59,59,0
432,862,0,431,3888,0.0010461807250976562,True,8,8,8,0
436,870,0,435,3924,0.0380861759185791,True,183,183,181,2
444,886,0,443,3996,0.00599360466003418,True,61,61,61,0
448,894,0,447,4032,0.024004459381103516,True,139,139,139,0
452,902,0,451,4068,0.0039975643157958984,True,38,38,38,0
456,910,0,455,4104,0.008998870849609375,True,82,82,81,1
468,934,0,467,4212,0.039003849029541016,True,87,87,87,0
472,942,0,471,4248,0.01399850845336914,True,102,102,102,0
476,950,0,475,4284,0.003016233444213867,True,16,16,16,0
480,958,0,479,4320,0.08200311660766602,True,397,397,300,97
484,966,0,483,4356,0.004002809524536133,True,19,19,19,0
488,974,0,487,4392,0.013999700546264648,True,108,108,108,0
492,982,0,491,4428,0.003000497817993164,True,29,29,29,0
500,998,0,499,4500,0.018999814987182617,True,136,136,134,2
508,1014,0,507,4572,0.012000560760498047,True,87,87,86,1
512,1022,0,511,4608,0.0019996166229248047,True,26,26,26,0
516,1030,0,515,4644,0.028038740158081055,True,164,164,162,2
520,1038,0,519,4680,0.003997325897216797,True,37,37,37,0
524,1046,0,523,4716,0.008999109268188477,True,85,85,85,0
528,1054,0,527,4752,0.08501291275024414,True,284,284,280,4
536,1070,0,535,4824,0.004001617431640625,True,27,27,27,0
540,1078,0,539,4860,0.014993429183959961,True,108,108,107,1
544,1086,0,543,4896,0.012999773025512695,True,100,100,100,0
548,1094,0,547,4932,0.01099848747253418,True,87,87,87,0
552,1102,0,551,4968,0.0009999275207519531,True,8,8,8,0
556,1110,0,555,5004,0.009035825729370117,True,77,77,77,0
568,1134,0,567,5112,0.04674386978149414,True,207,207,206,1
572,1142,0,571,5148,0.0,True,0,0,0,0
576,1150,0,575,5184,0.0010006427764892578,True,16,16,16,0
580,1158,0,579,5220,0.003999471664428711,True,46,46,46,0
584,1166,0,583,5256,0.0009980201721191406,True,12,12,12,0
588,1174,0,587,5292,0.010969161987304688,True,84,84,84,0
592,1182,0,591,5328,0.0019960403442382812,True,18,18,18,0
596,1190,0,595,5364,0.0030028820037841797,True,35,35,35,0
600,1198,0,599,5400,0.0009982585906982422,True,10,10,10,0
608,1214,0,607,5472,0.07398104667663574,True,346,346,281,65
612,1222,0,611,5508,0.0019948482513427734,True,14,14,14,0
616,1230,0,615,5544,0.0,True,1,1,1,0
620,1238,0,619,5580,0.04399371147155762,True,248,248,215,33
632,1262,0,631,5688,0.0019693374633789062,True,13,13,13,0
636,1270,0,635,5724,0.02797532081604004,True,219,219,156,63
640,1278,0,639,5760,0.026994705200195312,True,165,165,165,0
644,1286,0,643,5796,0.004964590072631836,True,29,29,29,0
648,1294,0,647,5832,0.09696578979492188,True,336,336,302,34
652,1302,0,651,5868,0.0019986629486083984,True,22,22,22,0
656,1310,0,655,5904,0.04501843452453613,True,208,208,207,1
660,1318,0,659,5940,0.013001680374145508,True,93,93,93,0
664,1326,0,663,5976,0.032999277114868164,True,181,181,180,1
676,1350,0,675,6084,0.018758058547973633,True,125,125,125,0
680,1358,0,679,6120,0.05051827430725098,True,295,295,231,64
688,1374,0,687,6192,0.05899930000305176,True,238,238,235,3
696,1390,0,695,6264,0.005892276763916016,True,42,42,42,0
700,1398,0,699,6300,0.018999338150024414,True,133,133,132,1
704,1406,0,703,6336,0.018998384475708008,True,128,128,127,1
712,1422,0,711,6408,0.0019986629486083984,True,25,25,25,0
732,1462,0,731,6588,0.009998798370361328,True,77,77,77,0
736,1470,0,735,6624,0.13499999046325684,True,341,341,337,4
744,1486,0,743,6696,0.017999649047851562,True,113,113,113,0
748,1494,0,747,6732,0.07503533363342285,True,346,346,280,66
752,1502,0,751,6768,0.10800576210021973,True,434,434,339,95
756,1510,0,755,6804,0.01903700828552246,True,131,131,131,0
760,1518,0,759,6840,0.0,True,2,2,2,0
768,1534,0,767,6912,0.008001565933227539,True,79,79,79,0
772,1542,0,771,6948,0.016007661819458008,True,119,119,117,2
780,1558,0,779,7020,0.02001476287841797,True,188,188,124,64
784,1566,0,783,7056,0.036008358001708984,True,190,190,188,2
788,1574,0,787,7092,0.002001047134399414,True,17,17,17,0
792,1582,0,791,7128,0.0,True,5,5,5,0
800,1598,0,799,7200,0.03899979591369629,True,193,193,193,0
